Director_1,movie_count
Anne Fletcher,1
Seth Gordon,1
Takashi Yamazaki,1
Ken Scott,1
David Wain,1
Rob Cohen,1
Taylor Hackford,1
Glenn Ficarra,1
Gil Kenan,1
J Blakeson,1
David Lowery,1
Richard Linklater,1
Anna Muylaert,1
Greg McLean,1
William Eubank,1
Dennis Gansel,1
David Twohy,1
Brian Helgeland,1
Brian Robbins,1
Cal Brunker,1
Etan Cohen,1
Nick Cassavetes,1
Julie Anne Robinson,1
Ryan Coogler,1
Kathryn Bigelow,1
Paul McGuigan,1
Andrew Niccol,1
Pierre Morel,1
Asger Leth,1
Olivier Megaton,1
Seth Rogen,1
Nancy Meyers,1
Kim Ji-woon,1
Oliver Stone,1
Trish Sie,1
Juan Antonio Bayona,1
Nat Faxon,1
Michael Cuesta,1
Michael Polish,1
Stephen Hopkins,1
Scott McGehee,1
Stiles White,1
Ed Gass-Donnelly,1
Andrew Erwin and Jon Erwin,1
Bille Woodruff,1
Ariel Schulman,1
Joel Edgerton,1
Rawson Marshall Thurber,1
Tommy Wirkola,1
Steven Quale,1
F. Gary Gray,1
Jon Hurwitz,1
Peter Farrelly,1
David Dobkin,1
Ben Stiller,1
Jorge R. Gutierrez,1
Peter Lord,1
Walter Hill,1
Peter Landesman,1
Tim Miller,1
Anthony Hemingway,1
Nicholas Hytner,1
Zach Braff,1
Rob Thomas,1
Zal Batmanglij,1
John R. Leonetti,1
Kenneth Branagh,1
Babak Najafi,1
Harald Zwart,1
Robert Lorenz,1
Akiva Goldsman,1
Anthony Stacchi,1
Richard LaGravenese,1
Travis Knight,1
Chris Butler,1
Baltasar Kormákur,1
David Fincher,1
Daniel Lee,1
Scott Waugh,1
Dan Bradley,1
McG,1
Will Gluck,1
Larry Charles,1
Frank Miller,1
Akiva Schaffer,1
Matt Bettinelli-Olpin,1
Gina Prince-Bythewood,1
Timo Vuorensola,1
Jay Duplass,1
Michael Mann,1
Renny Harlin,1
Gary Shore,1
George Clooney,1
Ruben Fleischer,1
Guy Ritchie,1
Louis Leterrier,1
Adam Shankman,1
Cody Cameron,1
Ken Kwapis,1
Nicole Holofcener,1
Alfonso Gomez-Rejon,1
Tom Gormican,1
Sofia Coppola,1
Ari Sandel,1
Dan Gilroy,1
Dennis Dugan,1
Rob Letterman,1
Dean Parisot,1
Neil Burger,1
Patrick Hughes,1
Breck Eisner,1
Thor Freudenthal,1
Walt Becker,1
Sergei Bodrov,1
